ID,review
432054677-s2064260237,"['1 . Look & Design: Phone is awesome in look very beautiful design. Feels like premium flagship 2. Performance : Satisfactory 3. Battery : Awesome 4. Front Camera Average 5. Back Camera : Good but not excellent 6. Over all : Value for money. Recommended this item.', 'بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں', '1. Look & Design : Phone is awesome in look ver beautiful design. Feels like premium flagship 2. Performance : satisfactory 3. Battery : Awesome 4. Front Cam: Average 5. Back Camera: good but not excellent 6. Over all: value for money. Recommended in tgis price segment']"
432849791-s2069109931,"['Reciceved it in 3 days good mobile original no damage to the product original charger was also in the box Recommended Seller', 'Product is original and as per details given. Delivered well before the committed time. Good presentable packaging, delivery is safe and sound.recommended the saller.', 'UNBEATABLE PRICE BY SELLER VERY CO OPERATIVE SELLER BUT VERY LATE ANSWERING . OVERALL 10/10 THANK YOU TO DARAZ PLATFORM']"
430239285-s2059656609,"['thankyou Alhamdulillah trading co for delivering phone fast and on time. they delivered box packed genuine product. businesses like Alhamdulillah trading co are reason to trust ecommerce. keep up the good work. looking forward to do business again.', '""Recently acquired the Infinix Note 30 – impressed with its overall performance. The shipment exceeded expected delivery time, though there was a color discrepancy (ordered black, received gray). Will share detailed performance feedback after more use. Appreciate Daraz team for their service.""', 'موبائل زبردست ہے اور بہت ہی مناسب قیمت میں ملا ہے ۔ 8 جی بی 256 جی بی میں یہ بیسٹ آپشن ہے ۔ اور سیلر بھائی نے بہت ہی تعاون کیا ۔ ہر چیز بہت بہترین طریقے سے واضح کی۔ باقاعدہ آن لائن وارنٹی بھی چیک کروائی گئی۔ جو دوست بھی لینا چاہئیں ضرور لیں انشاء اللہ نا امید نہیں ہوں گے اور انشاء اللہ اچھی چیز ملے گی۔ آرڈر کرنے کے تیسرے دن موبائل گھر پہنچ گیا ماشاءاللہ بہت ہی عمدہ سروس ۔ اللہ سبحانہ وتعالی جزائے خیر عطا فرمائیں آمین']"
427414634-s2030038838,"['It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services.', 'Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.', 'Excellent 👌']"
425222112-s2014006595,"['Mobile was repacked there was no company seal when i confirmed from MI service center they confirm that mobile was Repacked and was Activated 11 days before purchasing date and this shop owner have Assured me and other customers that mobile is not repacked and you will activate for the first time they lied and they are selling the product at increased price from official price but we have comprised on price that they will give us seal pack product but they scammed us and given us a repacked product which was activated before Purchasing.', 'Nice mobile delivery in time thanks for seller', 'thank you draz and thank you seller bohat Acha mobile Hy or same colour Jo order Kia tha bohat Acha seller Hy over all very nice and good experience']"
437902722-s2114130287,['Jo order kia tha wohi mila hai.Seller bhi acha hai.Thanks seller and Daraz.']
430225803-s2080865730,"['received Original Product of Redme... Seller Response Very Good and Early. Satisfied 👍', 'Great mobile, fast charging bhi nahi hai and No Glass No Cover. Best for my Rayyan Ali Khan.', 'excellent.. thanks for delivering in quick time']"
433726040-s2090405684,"['Very disappointing. This phone is not 8 GB RAM as claimed. This is a 4GB + 4 GB expendable. The add should clearly state that truth. Also, it has a slow processor. an iPhone user will find it very slow. it is large screen phone. The back camera quality is good in day light but not very good in low light. Overall it is okay for the price it is being sold at. But the ad should clearly state the figures to avoid any disappointments.', ""same mobile deliver hoa hai thanks 😊😊👍 I'm very happy......"", 'good quality nice phone I like it very much']"
436995460-s2101833767,[]
433497804-s2080954311,"['Genuine and Excellent Product. Loved the fast delivery and the mobile itself. Thanks #11.11 got it on discount. will recommend the seller and Daraz to others for quality and speed. Excellent Packing as well, Package packed in bubble wrap and was originally a sealed pin pack box. All accessories included, only handsfree missing by the company...😭 Other than that The feel of the mobile is amazing, is light weight and fast... Applied 144hz from get go. Was a lovely experience by Daraz. Thanks!', ""order placed on 15th and received today (21.09.23) daraz should work on speedy delivery. packing was good. the box was sealed packed and includes a mobile, a transparent cover, sim eject pin, cable and a 67w charger. trusted supplier. the only week point of the seller is that it doesn't reply instantly. takes too much time for reply even replied after 2 to 3 days. any ways .... thanks to daraz and the supplier. Happy yo receive my order."", ""I got my parcel timely I'm satisfied with my purchase. I bought it in official price before 11.11 but DRAZ didn't send any gift with mobile which is normal with a newly launched mobile. I expect Draz will give me gift. missing my gift 😔🎁🎁🎁""]"
422211748-s1998041160,"['Nice Cell phone delivered safely but 1 thing is shameful that no adopter with mobile at this heavy price.. only data cable found in the box .. Great services by daraz', 'mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na', 'Thanks a lot Daraz for their phenomenal service and a great discount of 5000 the device is very reasonablekeeping the current situation of the inflation I would highly recommend this over all other Chinese brands the look and feel of the device is awesome same like the flagship series of samsung and performance is also acceptable overall the only drawback being the charger not included with the device, which adds another couple of thousand to the already inflated price But still I like the phone thanks again daraz for providing the great experience and service Thanks a lot Daraz 😊❣️💥']"
430539584-s2053267858,"['Bht achi chez he build quality low h baqi is price men new set aur nh mil rahay he ye sahi he le saktay he same wohi cheez mili he', 'Excellent Price and Good Mobile in this price range..', 'same picture mein Jo tha wesa hi hai thank you for daraz😊 Bht Bht Bht acha hai']"
427887954-s2033472043,"['#11.11 Genuine seller, he sent exact same item as shown. Phone was seal packed and brand new. Loved the phone. Such a great buy in so affordable price🥺❤️ totally loved it.... highly recommended😍 Thank u daraz Thank u seller .... 5 stars from my side🌟🌟🌟🌟🌟', 'very nice set seller is very cooperative special thanks color is same as asked', 'nyccc mobile delivery time very short jasa mobile dhka tha wasa he haa']"
436688385-s2098284266,[]
433327714-s2125087779,"['#11.11 its my Best Purchase of 11 11 sale on Daraz .. Got a huge Discount of 12k From Daraz and HBL .. Box Pack .. Official PTA Approved .. Genuine Samsung Device .. Honestly i am really Greatful to Daraz for their efforts .. Delivering such Quality Services and Affordable Prices .. Original Product .. I for Sure Recommend the Seller and the Product .. Thank You Daraz .. 👍', 'This phone is awesome. Properly packed, genuine product. fast delivery', 'Best phone.. same as shown.. market competitive price and comes sealed packed. Delivered in just under 24 hours. Thank You seller.']"
434032750-s2122630384,"[""the ad was a new mobile but I received a used mobile those rates in the market are 5000 which is 5000 which I bear 12th and it's a clear fraud"", 'hamy dkhaya naya mob or use me diya ha mobile isk price5000 hen market me dhoka hua ha ye dkahya kuch diya kuch dabba pak bhi nahi ha ye return karna ha hamy ye', 'very bad experience set khula hua he aur refurbished hai camera oppo ka nhe he changed he aur set used he bht rough used he battery bekar hai']"
427991771-s2034404169,"['Excellent product, genuine and original product, PTA approved. No Patched mobile. Seller sounds a very professional and committed in such deals. strongly recommended and feel free to buy this product. Thank you Daraz and Grateful to you Dear Seller...', 'Box was sealed and came with all accessories. The seller is recommended for geniune product.', 'very beautiful thanks shop tech love you set was pin pack']"
404870740-s1950358084,"['Genuine product thanks seller and daraz', 'all ok pta approved sealed pack', '']"
429660348-s2045859828,"['Securely packed and delivered. Exactly as described and ordered. There was no Tech Sirat Warranty card in the box. So I have reservations there. Apart from the warranty card All is Well.', 'Received same as advertised with color']"
428102257-s2035159540,"['Thanks for Daraz & Tecno Flagship store Mobile boat acha hai or pin packed hai deliver bhi 1 din hogya. I am very happy once againThanks for Daraz & Tecno Flagship store.', 'thank you so much Tecno Company Zaberdast mobile hy aaj hi lunching ceremony thi or aaj hi mil gaya once again thank you so much Tecno', ""This is my first experience buying a phone from Daraz. it's good for me. The phone is ok! non-repack/non-active. I am 100% satisfied for daraz only for this product only! Tecno 20 camon""]"
438069913-s2118885564,[]
425521808-s2015916870,"['befor 11.11 Sale Excellent Masha Allah and Jazak Allah for seller Allah karobar me barkat de same as shown or saller ne mujhe new dia stock abhi warrant start bhi nhi hui hai jan-24 se Dec-23 ki Warenty hai Thank You Seller & Daraz jitni Tareef ki jai kam hai 100% Geniun & Recomended', 'excelllent quality same as shown super sy bhi uper daraz sy jab bhi order kia A One rha i love daraz tanx seller also hamara itemaad bnanay k liay👩\u200d🎓', 'great it as shown it was my 6th order good experience highly recommanded daraz ...A weekness delivery is too slow..... thanks Daraz and seller...mob have no privacy system very bad']"
432674368-s2125093041,"['Recommended seller 💯 fast shipping, pin packed.This phone has been warranty active 6 weeks ago on manufacture date by Samsung. Phone is original and has not been repacked. The warranty is 24 months and will expire september 2025.So hurry up before your favorite color is sold out.', ""In description section it says: What's in the box = 1 Phone , 1 Charger. But there is no Charger in the box. I know Samsung latest phone don't have chargers anymore, But then, why did your write it Like that. Moreover, the description/Specification Style of this phone in the daraz store was the worst thing I have ever seen. Kindly hire someone good. Other then of that, Original Seller(Samsung Flagship Store) is Selling Original/Sealed mobile phones. Good Delivery Service. So overall 3 Star"", '#RWC2. Genuine product with quick delivery.']"
436379657-s2095426645,"['Value for Money, with a renowned brand name', 'Good product with huge discount at Daraz 11.11']"
422151695-s1997383387,"['Thanx a lot OPPO Mobile Pakistan for quality product which i ordered & Daraz for in time delivery.', 'I recently received my parcel from the official Oppo store, and while the phone itself is excellent and original, I was disappointed with the packaging. The box arrived damaged, and there were no bubble wrap or proper protection inside. However, I must commend the seller for their polite and reasonable behavior throughout the process. I hope they improve their packaging to ensure better protection for future shipments. #OnlineShopping #OppoStore #CustomerExperience', 'Good Service.. Mobile recieved on time 👍']"
438405502-s2122429857,[]
429492323-s2045838409,"['i loved the phone, its orignal n sealed brand new phone. Thank you seller.', '#11.11 excellent quality', 'mujhe mbl receive howa hai good 👍 in time and same Samsung product Jo market mn 40000 mn mil rhi this wahine daraz pe 32500 mn Melissa hai']"
424399248-s2010703888,"[""mobile was box packed and looks very good.. let's see it's durability"", 'Mashallah Buht hi Achi parking he or delivery bhi fast hoi or seller ka response bhi buht acha Raha thank you.🌹', 'totally satisfied with the service']"
438403361-s2122417884,[]
436801398-s2101274808,"['#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.', 'good mobile same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active', 'everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍']"
436821010-s2101334479,"['I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰', 'Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro', 'Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi']"
429185340-s2040915791,"['this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.', 'Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓', 'Camera satisfactory nh ha, Baki mobile ok ha']"
430451931-s2051820851,"['achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai', 'Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.', 'mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho']"
430005529-s2047788424,"['Mobile received 2 days before delivery date. Mobile has all accessories. Mobile is looking good. But the warranty card has no information about Mobile (like IMEI number, purchase date, etc.)', 'looks original proper pinpacked', 'The Product is original and branded, The quality is best. Thanks Daraz.']"
430685852-s2054176513,"['Original phone seller response is satisfactory delivery is a little late but overall a good experience . Thanks seller and daraz.', ""The phone is original in good condition but the delivery system of daraz is very slow, In 2 weeks i got this mobile overall it's a good phone. i will recommend"", ""mobile was box packed looks new. let's see it's working .. recommended and will update this after 6months""]"
421521093-s1991845039,"['phone is damaged from edges, pictures uploaded', 'Same As Described original product found in reasonable price than Market', 'I ordered phone in black color but they sent me in Green color. After doing so, he stopped seeing my msgs. Such a ridiculous customer service. I’m completely disappointed over this.']"
424399069-s2010722464,"['Dear Seller, The cell phone is the same as shown, and also, thanks for the quick delivery. Thums Up', ""we'll packed box pack ram 4+3 rom 128gb reason able price just 1 issue net of out of warranty status show ho raha hy"", 'بہت اچھا رسپانس ہے بہت اچھا سیٹ جینون کنڈیشن میں مجھے ملا ہے اور ٹائم سے پہلے مجھے مل گیا ہے بہت تیز ڈلیوری ہے بہت اچھا رسپانس ہے ویری گڈ سیلر ویری گڈ دراز']"
421054632-s1988619536,"['i am using this mobile for 5 days now. best mobile for basic tasks like whatsapp call youtube etc. i received it on 11.11 sale at price 15k which is too good deal. everyone appriciate its look. working smooth and battery timing is too good. 👍', 'Amazing phone within the discounted price of #11.11 I would recommend everyone if you are looking to get the basics done alright and don’t want to spend too much this is the right choice. Quality is not cheap like other phones in this budget. However I do have one complaint as the phone down have a case in the box and no warranty card. #11.11', 'Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.']"
423781498-s2073410404,"['very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku', 'thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya', 'Awesome mobile recieved on time very fast processor lovely color seller are very cooperative totally satisfied 👌👍']"
422210787-s1998035735,"['very fast delivery and origional sealed pack mobile I am satisfied', 'سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ', 'not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful']"
438355041-s2122292351,"['Mashallah 11.11 Sale Received safe packed PTA approved Dilivered in time response excellent Great Quality Satisfied original item received thanks seller and Daraz 👍👍😁😊', 'Quality is good. Original product. Non activated', '# 11.11 brand new. pin packed. good quality. got in 20000/- only. made in Pakistan. Seller Recommended.']"
432054677-s2064260237,"['1 . Look & Design: Phone is awesome in look very beautiful design. Feels like premium flagship 2. Performance : Satisfactory 3. Battery : Awesome 4. Front Camera Average 5. Back Camera : Good but not excellent 6. Over all : Value for money. Recommended this item.', 'بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں', '1. Look & Design : Phone is awesome in look ver beautiful design. Feels like premium flagship 2. Performance : satisfactory 3. Battery : Awesome 4. Front Cam: Average 5. Back Camera: good but not excellent 6. Over all: value for money. Recommended in tgis price segment']"
432849791-s2069109931,"['Reciceved it in 3 days good mobile original no damage to the product original charger was also in the box Recommended Seller', 'Product is original and as per details given. Delivered well before the committed time. Good presentable packaging, delivery is safe and sound.recommended the saller.', 'UNBEATABLE PRICE BY SELLER VERY CO OPERATIVE SELLER BUT VERY LATE ANSWERING . OVERALL 10/10 THANK YOU TO DARAZ PLATFORM']"
430239285-s2059656609,"['thankyou Alhamdulillah trading co for delivering phone fast and on time. they delivered box packed genuine product. businesses like Alhamdulillah trading co are reason to trust ecommerce. keep up the good work. looking forward to do business again.', '""Recently acquired the Infinix Note 30 – impressed with its overall performance. The shipment exceeded expected delivery time, though there was a color discrepancy (ordered black, received gray). Will share detailed performance feedback after more use. Appreciate Daraz team for their service.""', 'موبائل زبردست ہے اور بہت ہی مناسب قیمت میں ملا ہے ۔ 8 جی بی 256 جی بی میں یہ بیسٹ آپشن ہے ۔ اور سیلر بھائی نے بہت ہی تعاون کیا ۔ ہر چیز بہت بہترین طریقے سے واضح کی۔ باقاعدہ آن لائن وارنٹی بھی چیک کروائی گئی۔ جو دوست بھی لینا چاہئیں ضرور لیں انشاء اللہ نا امید نہیں ہوں گے اور انشاء اللہ اچھی چیز ملے گی۔ آرڈر کرنے کے تیسرے دن موبائل گھر پہنچ گیا ماشاءاللہ بہت ہی عمدہ سروس ۔ اللہ سبحانہ وتعالی جزائے خیر عطا فرمائیں آمین']"
427414634-s2030038838,"['It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services.', 'Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.', 'Excellent 👌']"
425222112-s2014006595,"['Mobile was repacked there was no company seal when i confirmed from MI service center they confirm that mobile was Repacked and was Activated 11 days before purchasing date and this shop owner have Assured me and other customers that mobile is not repacked and you will activate for the first time they lied and they are selling the product at increased price from official price but we have comprised on price that they will give us seal pack product but they scammed us and given us a repacked product which was activated before Purchasing.', 'Nice mobile delivery in time thanks for seller', 'thank you draz and thank you seller bohat Acha mobile Hy or same colour Jo order Kia tha bohat Acha seller Hy over all very nice and good experience']"
437902722-s2114130287,['Jo order kia tha wohi mila hai.Seller bhi acha hai.Thanks seller and Daraz.']
430225803-s2080865730,"['received Original Product of Redme... Seller Response Very Good and Early. Satisfied 👍', 'Great mobile, fast charging bhi nahi hai and No Glass No Cover. Best for my Rayyan Ali Khan.', 'excellent.. thanks for delivering in quick time']"
433726040-s2090405684,"['Very disappointing. This phone is not 8 GB RAM as claimed. This is a 4GB + 4 GB expendable. The add should clearly state that truth. Also, it has a slow processor. an iPhone user will find it very slow. it is large screen phone. The back camera quality is good in day light but not very good in low light. Overall it is okay for the price it is being sold at. But the ad should clearly state the figures to avoid any disappointments.', ""same mobile deliver hoa hai thanks 😊😊👍 I'm very happy......"", 'good quality nice phone I like it very much']"
436995460-s2101833767,[]
433497804-s2080954311,"['Genuine and Excellent Product. Loved the fast delivery and the mobile itself. Thanks #11.11 got it on discount. will recommend the seller and Daraz to others for quality and speed. Excellent Packing as well, Package packed in bubble wrap and was originally a sealed pin pack box. All accessories included, only handsfree missing by the company...😭 Other than that The feel of the mobile is amazing, is light weight and fast... Applied 144hz from get go. Was a lovely experience by Daraz. Thanks!', ""order placed on 15th and received today (21.09.23) daraz should work on speedy delivery. packing was good. the box was sealed packed and includes a mobile, a transparent cover, sim eject pin, cable and a 67w charger. trusted supplier. the only week point of the seller is that it doesn't reply instantly. takes too much time for reply even replied after 2 to 3 days. any ways .... thanks to daraz and the supplier. Happy yo receive my order."", ""I got my parcel timely I'm satisfied with my purchase. I bought it in official price before 11.11 but DRAZ didn't send any gift with mobile which is normal with a newly launched mobile. I expect Draz will give me gift. missing my gift 😔🎁🎁🎁""]"
422211748-s1998041160,"['Nice Cell phone delivered safely but 1 thing is shameful that no adopter with mobile at this heavy price.. only data cable found in the box .. Great services by daraz', 'mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na', 'Thanks a lot Daraz for their phenomenal service and a great discount of 5000 the device is very reasonablekeeping the current situation of the inflation I would highly recommend this over all other Chinese brands the look and feel of the device is awesome same like the flagship series of samsung and performance is also acceptable overall the only drawback being the charger not included with the device, which adds another couple of thousand to the already inflated price But still I like the phone thanks again daraz for providing the great experience and service Thanks a lot Daraz 😊❣️💥']"
430539584-s2053267858,"['Bht achi chez he build quality low h baqi is price men new set aur nh mil rahay he ye sahi he le saktay he same wohi cheez mili he', 'Excellent Price and Good Mobile in this price range..', 'same picture mein Jo tha wesa hi hai thank you for daraz😊 Bht Bht Bht acha hai']"
427887954-s2033472043,"['#11.11 Genuine seller, he sent exact same item as shown. Phone was seal packed and brand new. Loved the phone. Such a great buy in so affordable price🥺❤️ totally loved it.... highly recommended😍 Thank u daraz Thank u seller .... 5 stars from my side🌟🌟🌟🌟🌟', 'very nice set seller is very cooperative special thanks color is same as asked', 'nyccc mobile delivery time very short jasa mobile dhka tha wasa he haa']"
436688385-s2098284266,[]
433327714-s2125087779,"['#11.11 its my Best Purchase of 11 11 sale on Daraz .. Got a huge Discount of 12k From Daraz and HBL .. Box Pack .. Official PTA Approved .. Genuine Samsung Device .. Honestly i am really Greatful to Daraz for their efforts .. Delivering such Quality Services and Affordable Prices .. Original Product .. I for Sure Recommend the Seller and the Product .. Thank You Daraz .. 👍', 'This phone is awesome. Properly packed, genuine product. fast delivery', 'Best phone.. same as shown.. market competitive price and comes sealed packed. Delivered in just under 24 hours. Thank You seller.']"
434032750-s2122630384,"[""the ad was a new mobile but I received a used mobile those rates in the market are 5000 which is 5000 which I bear 12th and it's a clear fraud"", 'hamy dkhaya naya mob or use me diya ha mobile isk price5000 hen market me dhoka hua ha ye dkahya kuch diya kuch dabba pak bhi nahi ha ye return karna ha hamy ye', 'very bad experience set khula hua he aur refurbished hai camera oppo ka nhe he changed he aur set used he bht rough used he battery bekar hai']"
427991771-s2034404169,"['Excellent product, genuine and original product, PTA approved. No Patched mobile. Seller sounds a very professional and committed in such deals. strongly recommended and feel free to buy this product. Thank you Daraz and Grateful to you Dear Seller...', 'Box was sealed and came with all accessories. The seller is recommended for geniune product.', 'very beautiful thanks shop tech love you set was pin pack']"
404870740-s1950358084,"['Genuine product thanks seller and daraz', 'all ok pta approved sealed pack', '']"
429660348-s2045859828,"['Securely packed and delivered. Exactly as described and ordered. There was no Tech Sirat Warranty card in the box. So I have reservations there. Apart from the warranty card All is Well.', 'Received same as advertised with color']"
428102257-s2035159540,"['Thanks for Daraz & Tecno Flagship store Mobile boat acha hai or pin packed hai deliver bhi 1 din hogya. I am very happy once againThanks for Daraz & Tecno Flagship store.', 'thank you so much Tecno Company Zaberdast mobile hy aaj hi lunching ceremony thi or aaj hi mil gaya once again thank you so much Tecno', ""This is my first experience buying a phone from Daraz. it's good for me. The phone is ok! non-repack/non-active. I am 100% satisfied for daraz only for this product only! Tecno 20 camon""]"
438069913-s2118885564,[]
425521808-s2015916870,"['befor 11.11 Sale Excellent Masha Allah and Jazak Allah for seller Allah karobar me barkat de same as shown or saller ne mujhe new dia stock abhi warrant start bhi nhi hui hai jan-24 se Dec-23 ki Warenty hai Thank You Seller & Daraz jitni Tareef ki jai kam hai 100% Geniun & Recomended', 'excelllent quality same as shown super sy bhi uper daraz sy jab bhi order kia A One rha i love daraz tanx seller also hamara itemaad bnanay k liay👩\u200d🎓', 'great it as shown it was my 6th order good experience highly recommanded daraz ...A weekness delivery is too slow..... thanks Daraz and seller...mob have no privacy system very bad']"
432674368-s2125093041,"['Recommended seller 💯 fast shipping, pin packed.This phone has been warranty active 6 weeks ago on manufacture date by Samsung. Phone is original and has not been repacked. The warranty is 24 months and will expire september 2025.So hurry up before your favorite color is sold out.', ""In description section it says: What's in the box = 1 Phone , 1 Charger. But there is no Charger in the box. I know Samsung latest phone don't have chargers anymore, But then, why did your write it Like that. Moreover, the description/Specification Style of this phone in the daraz store was the worst thing I have ever seen. Kindly hire someone good. Other then of that, Original Seller(Samsung Flagship Store) is Selling Original/Sealed mobile phones. Good Delivery Service. So overall 3 Star"", '#RWC2. Genuine product with quick delivery.']"
436379657-s2095426645,"['Value for Money, with a renowned brand name', 'Good product with huge discount at Daraz 11.11']"
422151695-s1997383387,"['Thanx a lot OPPO Mobile Pakistan for quality product which i ordered & Daraz for in time delivery.', 'I recently received my parcel from the official Oppo store, and while the phone itself is excellent and original, I was disappointed with the packaging. The box arrived damaged, and there were no bubble wrap or proper protection inside. However, I must commend the seller for their polite and reasonable behavior throughout the process. I hope they improve their packaging to ensure better protection for future shipments. #OnlineShopping #OppoStore #CustomerExperience', 'Good Service.. Mobile recieved on time 👍']"
438405502-s2122429857,[]
